,앱명,개발사,상승률, 업종 대분류, 업종 소분류
0,카카오톡 KakaoTalk,Kakao Corporation,0.12%,소셜네트워크,메신저/전화/영상통화
1,네이버 - NAVER,NAVER Corp.,-0.84%,생산성,인터넷/브라우저
2,YouTube,Google LLC,0.17%,엔터테인먼트,동영상스트리밍
3,삼성 갤러리,"Samsung Electronics Co., Ltd.",1.71%,사진/동영상,갤러리/관리
4,Chrome: 빠르고 안전한 브라우저,Google LLC,-0.20%,생산성,인터넷/브라우저
5,"T전화 - 스팸차단, AI, NUGU, 상호검색, 콜라영상통화, baro(로밍), 자동녹음",SKTelecom,0.47%,소셜네트워크,메신저/전화/영상통화
6,Samsung Internet 브라우저,"Samsung Electronics Co., Ltd.",-1.06%,생산성,인터넷/브라우저
7,Instagram,Instagram,-0.30%,소셜네트워크,SNS/커뮤니티
8,쿠팡 (Coupang),Coupang Corp.,-2.14%,쇼핑,소셜커머스/오픈마켓
9,밴드,NAVER Corp.,-2.98%,소셜네트워크,SNS/커뮤니티
10,Google,Google LLC,-2.89%,생산성,인터넷/브라우저
11,Facebook,Facebook,-0.44%,소셜네트워크,SNS/커뮤니티
12,배달의민족,WoowaBrothers,-2.92%,식음료,배달
13,Samsung Calculator,"Samsung Electronics Co., Ltd.",1.24%,유틸리티,계산기
14,Samsung Pay(삼성 페이),"Samsung Electronics Co., Ltd.",2.86%,금융,송금/결제
15,건강상태 자가진단(교육부),"교육부, 시도교육청, 한국교육학술정보원",0.16%,건강/의료,건강정보
16,토스,Viva Republica,-6.32%,금융,송금/결제
17,네이버 웹툰 - Naver Webtoon,NAVER WEBTOON,-0.36%,도서/참고자료,만화/웹소설
18,다음 - Daum,Kakao Corp.,-1.53%,생산성,인터넷/브라우저
19,당근마켓 - 대한민국 1등 동네 커뮤니티,Danggeun Market Inc.,-0.99%,쇼핑,중고거래
20,캐시워크 - 적립형 만보기 첫화면,"CashWalk, Inc.",0.62%,라이프스타일,리워드
21,"네이버 지도, 내비게이션",NAVER Corp.,5.83%,여행/교통,지도/네비게이션
22,네이버 카페 - Naver Cafe,NAVER Corp.,-0.06%,소셜네트워크,SNS/커뮤니티
23,카카오뱅크,KakaoBank Corp.,-0.90%,금융,은행/뱅킹서비스
24,TMAP - 내비게이션 / 지도,TMAP MOBILITY CO.,4.35%,여행/교통,지도/네비게이션
25,Samsung Notes,"Samsung Electronics Co., Ltd.",1.12%,생산성,기록/일정관리
26,"업비트 - 가장 신뢰받는 디지털 자산(비트코인, 이더리움, 비트코인캐시) 거래소",Dunamu,1.73%,금융,가상화폐
27,멜론,Kakao Entertainment Corp.,2.59%,엔터테인먼트,음악
28,Netflix(넷플릭스),"Netflix, Inc.",-2.47%,엔터테인먼트,동영상스트리밍
29,KB국민은행 스타뱅킹,KB국민은행,-4.38%,금융,은행/뱅킹서비스
30,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,Shinhan Bank,-1.23%,금융,은행/뱅킹서비스
31,SmartThings,"Samsung Electronics Co., Ltd.",3.69%,가정/생활,스마트홈/IOT
32,카카오스토리 KakaoStory,Kakao Corporation,-2.56%,소셜네트워크,SNS/커뮤니티
33,카카오페이지 KakaoPage,Kakao Entertainment Corp.,1.43%,도서/참고자료,만화/웹소설
34,NH스마트뱅킹,농협BANK,-2.43%,금융,은행/뱅킹서비스
35,카카오맵 - 지도 / 내비게이션 / 길찾기 / 위치공유,Kakao Corp.,1.42%,여행/교통,지도/네비게이션
36,트위터,"Twitter, Inc.",-0.39%,소셜네트워크,SNS/커뮤니티
37,11번가,11번가(주),-3.43%,쇼핑,소셜커머스/오픈마켓
38,네이트 (nate),SK Communications,-2.83%,생산성,인터넷/브라우저
39,키움증권 영웅문S,"Kiwoom Securities Co., Ltd.",1.33%,금융,증권/투자
40,TikTok 틱톡,TikTok Pte. Ltd.,-1.22%,소셜네트워크,SNS/커뮤니티
41,Gmail,Google LLC,7.92%,소셜네트워크,메일
42,신한페이판,SHINHANCARD,-2.32%,금융,신용카드
43,G마켓,G마켓,0.94%,쇼핑,소셜커머스/오픈마켓
44,지니뮤직 - genie,지니뮤직,2.40%,엔터테인먼트,음악
45,NH콕뱅크,농협BANK,-2.09%,금융,은행/뱅킹서비스
46,현대카드,Hyundai Card,-1.86%,금융,신용카드
47,Samsung My Files,"Samsung Electronics Co., Ltd.",0.43%,유틸리티,파일관리
48,OK캐쉬백 [즐거움이 포인트다],SK Planet (SK플래닛),19.33%,금융,쿠폰/포인트/상품권
49,Samsung Health(삼성 헬스),"Samsung Electronics Co., Ltd.",14.97%,건강/의료,운동/피트니스
50,우리은행 우리WON뱅킹,WooriBank,-5.57%,금융,은행/뱅킹서비스
51,"Discord - 친구와 대화, 영상 채팅, 모임",Discord Inc.,2.50%,소셜네트워크,메신저/전화/영상통화
52,Samsung Music - 삼성 뮤직,"Samsung Electronics Co., Ltd.",4.65%,엔터테인먼트,음악
53,미래에셋증권 m.Stock (계좌개설포함),"Mirae Asset Securities Co., Ltd.",5.63%,금융,증권/투자
54,삼성증권 mPOP (계좌개설 겸용),"Samsung Securities Co., Ltd.",0.80%,금융,증권/투자
55,삼성카드,Samsung Card,-7.14%,금융,신용카드
56,Google 드라이브,Google LLC,0.62%,생산성,클라우드
57,배달요기요 - 기다림 없는 맛집 배달앱,DeliveryHero Korea,1.66%,식음료,배달
58,다음 카페 - Daum Cafe,Kakao Corp.,-1.14%,소셜네트워크,SNS/커뮤니티
59,wavve(웨이브) - 재미의 파도를 타다!,wavve,-1.75%,엔터테인먼트,동영상스트리밍
60,Messenger – 무료 SMS 및 영상 통화,Facebook,0.65%,소셜네트워크,메신저/전화/영상통화
61,"카카오 T - 택시, 대리, 주차, 내비, 바이크, 기차, 시외버스, 항공, 퀵",Kakao Mobility Corp.,3.87%,여행/교통,대중교통
62,Google 포토,Google LLC,-0.85%,사진/동영상,갤러리/관리
63,스마트 공지시스템 e알리미,E-WUT,-3.07%,소셜네트워크,SNS/커뮤니티
64,i-ONE Bank - 개인고객용,IBK 기업은행,-2.99%,금융,은행/뱅킹서비스
65,YouTube Music,Google LLC,3.18%,엔터테인먼트,음악
