,앱명,개발사,구글스토어 순위,애플스토어 순위,원스토어 순위
0,오딘: 발할라 라이징,Kakao Games Corp.,"1
위","1
위",-
1,리니지M,NCSOFT,"2
위","5
위",-
2,블레이드&소울2,NCSOFT,"3
위","20
위",-
3,원신-1주년,miHoYo Limited,"4
위","4
위",-
4,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,"24
위","2
위","1
위"
5,삼국지 전략판,Qookka Games,"10
위","26
위","2
위"
6,기적의 검,4399 KOREA,"6
위","11
위","5
위"
7,리니지2M,NCSOFT,"5
위","21
위",-
8,쿠키런: 킹덤,Devsisters Corporation,"8
위","6
위","9
위"
9,바람의나라: 연,NEXON Company,"17
위","12
위","3
위"
10,히어로즈 테일즈,37 Mobile Games,"9
위","32
위","6
위"
11,제2의 나라: CROSS WORLDS,Netmarble,"7
위","7
위",-
12,라이즈 오브 킹덤즈,LilithGames,"11
위","17
위",-
13,MARVEL 퓨처 레볼루션,Netmarble,"13
위","24
위",-
14,미르4,"Wemade Co., Ltd","61
위","85
위","4
위"
15,뮤 아크엔젤,Webzen Inc.,"12
위","83
위",-
16,블레이드&소울 레볼루션,Netmarble,"14
위","38
위",-
17,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,"33
위","41
위","7
위"
18,카트라이더 러쉬플러스,NEXON Company,"23
위","10
위",-
19,세븐나이츠2,Netmarble,"18
위","22
위",-
20,ROBLOX,Roblox Corporation,"15
위","107
위",-
21,리니지2 레볼루션,Netmarble,"16
위","55
위",-
22,한게임 포커,NHN BIGFOOT,"21
위","96
위","23
위"
23,피파모바일,NEXON Company,"22
위","16
위",-
24,에픽세븐,Smilegate Megaport,"19
위","44
위",-
25,카카오톡 KakaoTalk,Kakao Corporation,"27
위","14
위","171
위"
26,R2M,Webzen Inc.,"20
위","104
위",-
27,천상나르샤,Eyougame Inc.,"30
위","71
위","13
위"
28,V4,NEXON Company,"25
위","39
위",-
29,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,"26
위","111
위","63
위"
30,배틀그라운드,"KRAFTON, Inc.","29
위","29
위",-
31,브롤스타즈,Supercell,"31
위","31
위",-
32,한게임포커 클래식 with PC,NHN Corp.,"28
위",-,"85
위"
33,YouTube,Google LLC,-,"3
위",-
34,나의 히어로 아카데미아: 최강 히어로,Bluetaku Pte. Ltd.,"47
위","8
위",-
35,원펀맨: 최강의 남자,GAMENOW TECHNOLOGY,"45
위","60
위","12
위"
36,건쉽배틀 토탈워페어,JOYCITY Corp.,"42
위","92
위","16
위"
37,영검,IYAGAMES,"32
위","108
위","67
위"
38,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,"95
위",-,"8
위"
39,에이지 오브 제트: 타워 디펜스,Camel Games Limited,"46
위","50
위","19
위"
40,꿈의 집 (Homescapes),Playrix,"35
위","36
위",-
41,메이플스토리M,NEXON Company,"43
위","19
위",-
42,퍼즐 오브 Z,"BLANCOZONE NETWORK CO., LIMITED","44
위","63
위","46
위"
43,디 앤츠: 언더그라운드 킹덤,StarUnion,"34
위",-,-
44,라이즈 오브 엠파이어,Long Tech Network Limited,"69
위","97
위","14
위"
45,엠파이어 & 퍼즐 (Empires & Puzzles),Small Giant Games,"36
위","119
위",-
46,컴투스프로야구2021,Com2uS,"57
위","66
위","24
위"
