국가,위중증,치명(%),완치(%),발생률,인구수,위중증_합계,위중증1일,확진자_합계,확진자1일,사망자_합계,사망자1일,완치_합계,완치1일
미국🇺🇸,"21296
-523",1.6,76.1,133532,331002651,21296,-523,44055692,+113357,"711,222",+2103,"33,520,958",+126125
인도🇮🇳,8944,1.3,97.8,24449,1380004385,8944,,33718984,+4743,"447,828",+129,"32,986,180",+9420
브라질🇧🇷,8318,2.8,95.3,100676,212559417,8318,,21381790,+15395,"595,520",+818,"20,383,243",+22052
영국🇬🇧,"831
-47",1.8,80.9,114476,67886011,831,-47,7736235,+34520,"136,375",+167,"6,255,350",+36239
러시아🇷🇺,2300,2.8,88.9,51305,145934462,2300,,7487138,+22430,"206,388",+857,"6,653,941",+18456
터키🇹🇷,633,0.9,92.4,84480,84339067,633,,7095580,+28892,"63,611",+239,"6,552,771",+30336
프랑스🇫🇷,1609,1.7,96.4,107367,65273511,1609,,7002393,+6765,"116,615",+78,"6,750,241",+12750
이란🇮🇷,"6016
-108",2.2,89.9,66350,83992949,6016,-108,5572962,+13271,"120,160",+272,"5,009,673",+21564
아르헨티나🇦🇷,"1184
-16",2.2,97.4,116278,45195774,1184,-16,5253765,+1825,"115,038",+84,"5,115,084",+1481
콜롬비아🇨🇴,542,2.5,96.8,97397,50882891,542,,4954376,+1686,"126,219",+41,"4,795,975",+2588
스페인🇪🇸,"771
-66",1.7,95.8,106015,46754778,771,-66,4953930,+2290,"86,358",+60,"4,745,511",+9489
이탈리아🇮🇹,"459
-29",2.8,95.1,77210,60461826,459,-29,4665049,+2962,"130,807",+65,"4,435,370",+5105
독일🇩🇪,1435,2.2,94.5,50495,83783942,1435,,4221331,+9130,"94,140",+91,"3,989,700",+11500
인도네시아🇮🇩,N/A,3.4,95.7,15404,273523615,N/A,,4213414,+1954,"141,826",+117,"4,034,176",+3077
멕시코🇲🇽,4798,7.6,82.3,28351,128932753,4798,,3645599,+9792,"276,376",+700,"2,999,060",+7337
폴란드🇵🇱,"174
+6",2.6,91.6,76780,37846611,174,+6,2905866,+1235,"75,623",+22,"2,662,132",+17
남아프리카 공화국🇿🇦,546,3.0,95.4,48913,59308690,546,,2898888,+1367,"87,417",+201,"2,765,700",+2888
필리핀🇵🇭,3170,1.5,93.3,23140,109581078,3170,,2535732,+12767,"38,164",+478,"2,365,229",+12089
우크라이나🇺🇦,177,2.3,93.4,55412,43733762,177,,2411622,+9666,"56,080",+217,"2,251,352",+3281
말레이시아🇲🇾,"985
+7",1.2,91.0,68991,32365999,985,+7,2220526,+11332,"25,935",+240,"2,020,099",+14160
페루🇵🇪,"1021
-4",9.2,N/A,65975,32971854,1021,-4,2174219,+865,"199,329",+15,N/A,
네덜란드🇳🇱,"155
-5",0.9,N/A,116800,17134872,155,-5,2001347,+1755,"18,168",+6,N/A,
이라크🇮🇶,"497
-19",1.1,95.3,49745,40222493,497,-19,2000869,+2254,"22,221",+34,"1,907,411",+3389
일본🇯🇵*,"1002
-64",1.0,96.9,13444,126476461,1002,-64,1700326,+1982,"17,625",+48,"1,648,065",+4440
체코🇨🇿,"38
+2",1.8,97.8,157951,10708981,38,+2,1690758,+470,"30,455",+1,"1,654,019",+419
칠레🇨🇱,"386
-3",2.3,97.3,86492,19116201,386,-3,1653406,+611,"37,455",+6,"1,609,007",+423
캐나다🇨🇦,"776
+138",1.7,95.5,42926,37742154,776,+138,1615859,+3428,"27,754",+56,"1,543,328",+5048
태국🇹🇭,3324,1.0,91.7,22972,69799978,3324,,1591829,+10414,"16,620",+122,"1,459,786",+11580
방글라데시🇧🇩,1408,1.8,97.4,9442,164689383,1408,,1555051,+1178,"27,487",+17,"1,514,962",+1086
이스라엘🇮🇱,"659
+18",0.6,95.1,147567,8655535,659,+18,1275405,+5175,"7,692",+8,"1,213,546",+7889
파키스탄🇵🇰,"3948
-67",2.2,93.9,5637,220892340,3948,-67,1243385,+1560,"27,690",+52,"1,167,189",+2970
벨기에🇧🇪,206,2.1,92.9,107236,11589623,206,,1240232,+1874,"25,581",+13,"1,152,355",
루마니아🇷🇴,"1320
+53",3.0,90.9,63502,19237691,1320,+53,1221636,+10826,"36,865",+207,"1,110,542",+6046
스웨덴🇸🇪,"37
+2",1.3,N/A,114070,10099265,37,+2,1152027,+854,"14,814",+6,N/A,
포르투갈🇵🇹,"68
-6",1.7,95.5,104792,10196709,68,-6,1068530,+755,"17,968",+6,"1,020,067",+801
세르비아🇷🇸,"243
-8",0.9,85.4,106948,8737371,243,-8,934440,+8171,"8,187",+45,"798,306",+6044
모로코🇲🇦,"498
-54",1.5,97.0,25249,36910560,498,-54,930891,+1192,"14,225",+26,"902,778",+1558
카자흐스탄🇰🇿,221,1.3,92.7,47127,18776707,221,,882634,+1925,"11,142",+42,"818,521",+2857
쿠바🇨🇺,"421
+15",0.8,95.6,77024,11326616,421,+15,872425,+5617,"7,378",+48,"834,004",+7277
스위스🇨🇭,"186
-23",1.3,91.3,96968,8654622,186,-23,839218,+1451,"11,087",+8,"765,932",+6191
헝가리🇭🇺,"81
+7",3.7,95.4,85163,9660351,81,+7,822072,+546,"30,185",+6,"784,539",+724
요르단🇯🇴,"480
+34",1.3,97.2,80651,10203134,480,+34,821840,+1042,"10,703",+6,"798,740",+967
네팔🇳🇵,N/A,1.4,96.3,27256,29136808,N/A,,794163,+892,"11,123",+8,"764,847",+1113
베트남🇻🇳,N/A,2.5,74.9,8007,97338579,N/A,,779398,+8758,"19,098",+162,"583,509",+23568
오스트리아🇦🇹,"226
-14",1.5,95.8,82280,9006398,226,-14,741046,+2283,"10,998",+12,"710,069",+2209
아랍에미레이트🇦🇪,N/A,0.3,99.0,74388,9890402,N/A,,735727,+270,"2,095",+1,"728,195",+350
튀니지🇹🇳,"295
-21",3.5,95.4,59763,11818619,295,-21,706314,+840,"24,842",+48,"673,990",+552
그리스🇬🇷,"322
-1",2.3,93.4,62701,10423054,322,-1,651378,+3287,"14,751",+24,"608,082",
레바논🇱🇧,200,1.3,95.0,91365,6825445,200,,622983,+543,"8,306",+10,"592,145",+1143
조지아🇬🇪,N/A,1.5,95.3,153669,3989167,N/A,,611269,+1929,"8,917",+33,"582,805",+1914
과테말라🇬🇹,5,2.4,92.5,31104,17915568,5,,553289,+2956,"13,453",+59,"511,678",+3901
사우디아라비아🇸🇦,"224
-3",1.6,98.0,15715,34813871,224,-3,547090,+55,"8,713",+4,"536,125",+46
벨라루스🇧🇾,N/A,0.8,96.5,56734,9449323,N/A,,536097,+1993,"4,114",,"517,325",+1295
코스타리카🇨🇷,"449
+6",1.2,80.7,104064,5094118,449,+6,528077,+2078,"6,316",+39,"426,385",+1308
스리랑카🇱🇰,N/A,2.5,88.5,24119,21413249,N/A,,515524,+932,"12,786",+55,"456,087",+743
에콰도르🇪🇨,759,6.4,87.3,28863,17643054,759,,508655,,"32,747",,"443,880",
볼리비아🇧🇴,220,3.7,91.8,42842,11673021,220,,499648,+446,"18,716",+9,"458,899",+672
불가리아🇧🇬,"449
+17",4.2,87.2,71975,6948445,449,+17,497970,+2573,"20,725",+87,"434,474",+2159
아제르바이잔🇦🇿,N/A,1.3,94.1,47650,10139177,N/A,,481401,,"6,476",,"452,968",
파나마🇵🇦,61,1.5,97.7,108198,4314767,61,,466589,+232,"7,219",+3,"455,950",+373
미얀마🇲🇲,N/A,3.8,90.1,8502,54409800,N/A,,461066,+1630,"17,631",+48,"415,376",+1555
파라과이🇵🇾,"21
-2",3.5,96.3,64486,7132538,21,-2,459899,+44,"16,193",+2,"442,955",+101
쿠웨이트🇰🇼,10,0.6,99.2,96382,4270571,10,,411572,+39,"2,448",+1,"408,459",+35
슬로바키아🇸🇰,119,3.1,94.2,75294,5459642,119,,411080,+1459,"12,620",+14,"387,358",+746
크로아티아🇭🇷,"99
-3",2.1,95.8,98186,4105267,99,-3,403080,+1911,"8,628",+14,"386,351",+896
팔레스타인🇵🇸,"75
+1",1.0,92.4,78852,5101414,75,+1,402255,+3309,"4,080",+34,"371,819",+4638
우루과이🇺🇾,13,1.6,98.1,111932,3473730,13,,388700,+128,"6,053",,"381,315",+125
아일랜드🇮🇪,"63
-3",1.3,88.1,78712,4937786,63,-3,387218,+1497,"5,209",,"341,205",+1646
베네수엘라🇻🇪,681,1.2,95.3,12930,28435940,681,,366150,+1392,"4,443",+16,"348,895",+1202
온두라스🇭🇳,418,2.7,30.1,36952,9904607,418,,365259,+654,"9,755",+50,"109,982",+486
덴마크🇩🇰,"16
+1",0.7,97.9,61871,5792202,16,+1,358369,+542,"2,654",+2,"350,776",+346
도미니카 공화국🇩🇴,"156
-15",1.1,97.5,33044,10847910,156,-15,357982,+465,"4,041",,"348,865",+259
에티오피아🇪🇹,"780
-11",1.6,90.4,2995,114963588,780,-11,343104,+799,"5,488",+49,"310,239",+1301
리비아🇱🇾,N/A,1.4,76.2,49375,6871292,N/A,,339269,+1379,"4,636",+19,"258,574",+2453
리투아니아🇱🇹,"214
+11",1.5,91.6,121173,2722289,214,+11,329869,+1973,"4,965",+19,"302,106",+2627
대한민국🇰🇷,"331
+7",0.8,88.3,6072,51269185,331,+7,308725,+2885,"2,474",+10,"272,724",+1796
오만🇴🇲,20,1.3,98.0,59479,5106626,20,,303738,+33,"4,096",+1,"297,546",+294
이집트🇪🇬,90,5.7,84.4,2969,102334404,90,,303045,+718,"17,263",+39,"255,658",+599
몽골🇲🇳,192,0.4,96.6,92757,3278290,192,,301434,+2515,"1,258",+16,"291,328",+6616
슬로베니아🇸🇮,74,1.6,94.0,140617,2078938,74,,292333,+1339,"4,556",+3,"274,665",+1362
몰도바🇲🇩,"174
+14",2.3,94.5,72593,4033963,174,+14,291252,+1209,"6,732",+19,"275,115",+1195
바레인🇧🇭,"5
+1",0.5,99.2,161604,1701575,5,+1,274925,+48,"1,389",,"272,803",+65
