한글표기,위중증_합계,위중증1일,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자_합계,사망자1일,완치_합계,완치1일,kr_code,en_code,country,etc,백신접종수,Enough_percent_people:,1차접종,2차접종,일별접종수
미국,"21,819",-275.0,1.6,76.0,133095,331002651,43942335,187382.0,"709,119",2781.0,"33,394,833",208564.0,미국,U.S.,,,391152580.0,61.1,64.4,55.8,701422.0
인도,"8,944",,1.3,97.8,24432,1380004385,33714241,21093.0,"447,699",337.0,"32,976,760",28144.0,인도,India,,,876538600.0,32.0,46.7,16.8,7178901.0
브라질,"8,318",,2.8,95.3,100592,212559417,21366395,14423.0,"594,702",218.0,"20,361,191",20818.0,브라질,Brazil,,,233261970.0,56.5,71.3,41.9,1317163.0
영국,878,-38.0,1.8,80.7,113959,67886011,7701715,37485.0,"136,208",40.0,"6,219,111",33541.0,영국,U.K.,,,93565470.0,70.0,73.0,67.1,63126.0
러시아,"2,300",,2.8,88.9,51151,145934462,7464708,21559.0,"205,531",852.0,"6,635,485",17368.0,러시아,Russia,,,89865310.0,30.6,32.6,28.5,214966.0
터키,633,,0.9,92.3,84132,84339067,7066688,27188.0,"63,372",206.0,"6,522,435",25160.0,터키,Turkey,,,108761680.0,65.4,64.5,53.0,381129.0
프랑스,"1,609",,1.7,96.3,107278,65273511,6995628,1309.0,"116,537",74.0,"6,737,491",14460.0,프랑스,France,,,94250530.0,72.7,77.4,74.6,229555.0
이란,"6,124",-85.0,2.2,89.7,66192,83992949,5559691,11701.0,"119,888",239.0,"4,988,109",22011.0,이란,Iran,,,43372270.0,26.0,35.5,16.8,1368407.0
아르헨티나,"1,200",-37.0,2.2,97.4,116245,45195774,5251940,1538.0,"114,954",92.0,"5,113,603",2007.0,아르헨티나,Argentina,,,51222136.0,57.0,65.7,48.3,222650.0
콜롬비아,542,,2.5,96.8,97368,50882891,4952690,1015.0,"126,178",33.0,"4,793,387",1672.0,콜롬비아,Colombia,,,39701908.0,39.4,51.4,32.8,169329.0
스페인,837,,1.7,95.6,105956,46754778,4951640,5039.0,"86,298",69.0,"4,736,022",27855.0,스페인,Spain,,,69936750.0,75.2,81.0,78.5,72816.0
이탈리아,488,5.0,2.8,95.0,77157,60461826,4662087,1773.0,"130,742",45.0,"4,430,265",2892.0,이탈리아,Italy,,,84351560.0,69.9,74.5,74.5,211345.0
독일,"1,435",,2.2,94.4,50350,83783942,4212201,4941.0,"94,049",66.0,"3,978,200",11500.0,독일,Germany,,,107197990.0,64.5,67.9,64.2,194817.0
인도네시아,,,3.4,95.7,15397,273523615,4211460,2057.0,"141,709",124.0,"4,031,099",3551.0,인도네시아,Indonesia,,,139232210.0,26.1,32.9,18.4,1916012.0
멕시코,"4,798",,7.6,82.3,28275,128932753,3635807,3007.0,"275,676",230.0,"2,991,723",7262.0,멕시코,Mexico,,,99366400.0,38.9,49.8,35.0,536693.0
폴란드,168,15.0,2.6,91.7,76747,37846611,2904631,976.0,"75,601",29.0,"2,662,115",107.0,폴란드,Poland,,,37158644.0,48.9,52.1,51.1,25851.0
남아프리카 공화국,546,,3.0,95.4,48878,59308690,2897521,578.0,"87,216",164.0,"2,762,812",2719.0,남아프리카 공화국,South Africa,,,17176604.0,16.4,20.7,14.3,116932.0
필리핀,"3,170",,1.5,93.3,23024,109581078,2522965,32107.0,"37,686",281.0,"2,353,140",61134.0,필리핀,Philippines,,,44361284.0,20.7,23.5,19.2,369770.0
우크라이나,177,,2.3,93.6,55143,43733762,2401956,6552.0,"55,863",143.0,"2,248,071",2927.0,우크라이나,Ukraine,,,17867952.0,21.4,29.6,13.2,157673.0
말레이시아,978,-72.0,1.2,90.8,68607,32365999,2209194,10959.0,"25,695",258.0,"2,005,939",16430.0,말레이시아,Malaysia,,,43028920.0,66.0,70.6,60.7,300427.0
페루,"1,025",2.0,9.2,,65942,32971854,2173354,320.0,"199,314",22.0,,,페루,Peru,,,25912376.0,39.1,46.7,31.1,246687.0
네덜란드,160,-17.0,0.9,,116697,17134872,1999592,1707.0,"18,162",8.0,,,네덜란드,Netherlands,,,23540560.0,68.3,70.3,63.6,20051.0
이라크,516,-5.0,1.1,95.3,49689,40222493,1998615,2401.0,"22,187",45.0,"1,904,022",3795.0,이라크,Iraq,,,7448300.0,9.5,11.7,7.3,110874.0
일본,"1,066",-44.0,1.0,96.8,13428,126476461,1698344,1722.0,"17,577",50.0,"1,643,625",4341.0,일본,Japan,,,161057150.0,63.8,69.5,58.2,1134065.0
체코,36,6.0,1.8,97.8,157882,10708981,1690288,668.0,"30,454",,"1,653,600",431.0,체코,Czech Republic,,,11788930.0,55.3,57.0,55.8,8874.0
칠레,389,9.0,2.3,97.3,86460,19116201,1652795,431.0,"37,449",4.0,"1,608,584",1088.0,칠레,Chile,,,31553676.0,82.6,78.5,73.8,109701.0
캐나다,638,,1.7,95.4,42813,37742154,1612431,10052.0,"27,698",49.0,"1,538,280",10029.0,캐나다,Canada,,,56036104.0,74.7,76.2,70.6,105929.0
태국,"3,324",,1.0,91.6,22806,69799978,1581415,9489.0,"16,498",129.0,"1,448,206",12805.0,태국,Thailand,,,46023016.0,33.1,42.4,22.8,640484.0
방글라데시,"1,408",-5.0,1.8,97.4,9435,164689383,1553873,1310.0,"27,470",31.0,"1,513,876",1195.0,방글라데시,Bangladesh,,,41466456.0,12.4,14.9,10.0,504273.0
이스라엘,641,,0.6,94.9,147235,8655535,1270230,,"7,684",,"1,205,657",,이스라엘,Israel,,,14970627.0,82.7,67.3,62.1,29290.0
