국가,백신접종수,Enough_percent_people:,1차접종,2차접종,일별접종수
Global Total,6251982300.0,-999.0,-999.0,-999.0,30250862.0
Mainland China,2206054000.0,78.8,82.5,73.0,3350000.0
India,883358400.0,32.3,46.9,16.9,7087679.0
EU,564975600.0,63.6,67.4,64.8,1017118.0
U.S.,391992670.0,61.2,64.5,55.9,706771.0
Brazil,234674910.0,56.8,71.5,42.3,1396215.0
Japan,162577380.0,64.4,69.9,58.9,1086500.0
Indonesia,141049220.0,26.4,33.4,18.7,1850779.0
Turkey,109164376.0,65.6,64.7,53.3,378499.0
Germany,107422984.0,64.6,68.0,64.3,193171.0
Mexico,99868670.0,39.1,49.8,35.2,439355.0
France,94409620.0,72.8,77.5,74.7,238666.0
U.K.,93630856.0,70.1,73.1,67.1,63598.0
Russia,90127900.0,30.7,32.6,28.5,222855.0
Italy,84548510.0,70.0,74.6,74.7,201909.0
Pakistan,80508570.0,19.7,28.5,13.4,717039.0
Spain,70022100.0,75.3,81.0,78.7,67575.0
South Korea,63412390.0,61.3,75.0,47.7,662506.0
Canada,56108840.0,74.8,76.2,70.6,99712.0
Iran,51950784.0,31.2,43.6,18.8,953168.0
Argentina,51516132.0,57.3,65.8,48.8,215137.0
Thailand,49681430.0,35.7,45.4,26.0,614129.0
Bangladesh,48225450.0,14.5,18.9,10.0,1387002.0
Philippines,44741740.0,20.9,25.2,22.3,372853.0
Malaysia,43367580.0,66.6,71.1,61.2,302901.0
Saudi Arabia,41987172.0,61.6,68.5,54.7,99437.0
Morocco,41099860.0,57.7,62.7,52.8,276939.0
Colombia,39913296.0,39.6,51.5,32.9,175737.0
Vietnam,39232772.0,20.3,32.1,8.6,631780.0
Poland,37186150.0,49.0,52.1,51.1,25586.0
Chile,31664524.0,82.9,78.8,73.8,90807.0
Australia,27441696.0,53.8,63.7,42.6,285209.0
Sri Lanka,26171816.0,60.0,66.4,53.5,151563.0
Peru,26058662.0,39.3,47.1,31.5,230804.0
Cambodia,24072204.0,73.0,80.1,66.3,179078.0
Netherlands,23540560.0,68.3,70.3,63.6,20075.0
Ecuador,20666054.0,59.8,64.5,57.2,20552.0
Cuba,20535956.0,90.6,80.8,43.7,254770.0
UAE,20018034.0,93.1,86.2,76.4,52096.0
Uzbekistan,19969344.0,30.0,29.4,12.9,250614.0
Ukraine,18057256.0,21.6,29.9,13.3,161358.0
South Africa,17176604.0,16.4,20.9,14.5,113252.0
Belgium,16672036.0,72.8,74.8,73.3,21397.0
Egypt,16223309.0,8.2,10.6,5.7,385142.0
Portugal,15950862.0,77.6,86.9,84.0,16224.0
Venezuela,15714857.0,28.2,35.0,21.5,343401.0
Taiwan,15091281.0,32.0,54.3,9.7,240846.0
Israel,15030613.0,83.0,67.4,62.2,32724.0
Kazakhstan,14095115.0,37.8,40.6,34.6,56703.0
Algeria,14082920.0,16.2,13.9,9.3,292376.0
Sweden,13730445.0,66.5,69.2,63.5,28302.0
Nepal,13452743.0,23.6,24.5,21.8,205302.0
Greece,12112128.0,56.5,60.0,57.0,21649.0
Dominican Republic,11859802.0,57.2,58.3,55.5,21593.0
Czech Republic,11790273.0,55.4,57.0,55.8,7440.0
Hungary,11167215.0,57.1,60.2,57.7,5617.0
Myanmar,10935671.0,10.3,13.6,6.6,241757.0
Austria,10817179.0,61.1,64.6,61.0,9594.0
Switzerland,10383501.0,60.8,64.4,58.5,27584.0
Romania,10175695.0,26.2,28.2,27.5,26825.0
Singapore,9306870.0,81.6,82.1,79.2,21411.0
Denmark,8819556.0,76.0,76.7,75.2,4111.0
Hong Kong,8646366.0,57.5,59.6,55.4,29448.0
Azerbaijan,8350575.0,41.8,47.2,36.4,43969.0
Tunisia,7975573.0,33.8,42.6,32.0,104696.0
Norway,7769255.0,72.5,77.3,67.7,15809.0
Iraq,7608508.0,9.7,12.0,7.5,38726.0
Finland,7556125.0,68.5,74.8,62.1,20810.0
El Salvador,7396969.0,57.3,62.8,51.6,37098.0
Ireland,7207797.0,72.8,76.1,74.2,8782.0
Jordan,6976290.0,34.6,36.7,32.4,15752.0
Guatemala,6757605.0,19.2,25.1,13.3,70914.0
Bolivia,6729706.0,29.1,36.8,28.2,33840.0
Nigeria,6552979.0,1.6,2.3,0.9,67104.0
Serbia,6456710.0,46.4,43.5,41.6,17745.0
Oman,6374064.0,76.0,90.1,61.9,237136.0
Uruguay,6234761.0,88.6,77.7,73.0,19405.0
Panama,5367816.0,63.6,69.7,57.5,16408.0
Zimbabwe,5290317.0,17.7,20.5,15.0,29469.0
Costa Rica,5278479.0,52.0,64.5,39.5,12.0
Honduras,5196072.0,26.6,32.8,20.4,46577.0
New Zealand,5132627.0,52.1,66.3,37.9,37830.0
Slovakia,4767787.0,43.7,44.9,41.3,5575.0
Qatar,4708867.0,84.2,84.4,79.4,4704.0
Mongolia,4662652.0,70.7,68.3,64.6,13034.0
Paraguay,4488153.0,31.4,36.7,26.1,10058.0
Laos,4402770.0,30.7,41.1,26.7,9906.0
Tajikistan,3872421.0,20.8,24.8,16.8,70941.0
Rwanda,3760170.0,15.2,17.0,13.3,55030.0
Kenya,3712030.0,3.9,5.8,1.9,35853.0
Mozambique,3644423.0,5.8,6.1,5.6,54234.0
Ethiopia,3559648.0,1.8,2.9,0.8,47783.0
Croatia,3419381.0,42.0,44.6,41.8,5545.0
Belarus,3389520.0,17.9,19.8,16.0,26145.0
Lithuania,3207088.0,57.6,62.6,57.8,492.0
Angola,3134137.0,5.2,7.1,3.3,44858.0
Afghanistan,3133227.0,4.2,2.1,1.2,765279.0
Lebanon,3038896.0,22.2,24.2,20.1,12103.0
Bahrain,2574524.0,86.7,78.5,75.1,4846.0
Bulgaria,2530744.0,18.2,17.4,19.0,6801.0
Kuwait,2380000.0,25.1,56.2,19.4,12990.0
Slovenia,2119238.0,52.3,54.3,48.2,6177.0
Uganda,2058553.0,2.6,4.1,1.0,90201.0
Ivory Coast,1982168.0,3.8,5.6,1.4,29591.0
Senegal,1784832.0,5.5,7.6,3.5,2395.0
Georgia,1774769.0,23.8,26.3,21.4,12623.0
Guinea,1732598.0,6.4,8.7,4.0,37356.0
Albania,1723996.0,30.0,32.8,27.3,8344.0
Sudan,1704840.0,2.0,1.5,1.3,23108.0
