BASE_YY,CNTY_CD,CNTY_NM,CNTN_EBK_UNFC_CLSF_NM
2020,AF,아프카니스탄,아시아
2020,AM,아르메니아,아시아
2020,AZ,아제르바이잔,아시아
2020,BD,방글라데시,아시아
2020,BN,브루나이,아시아
2020,BT,부탄,아시아
2020,CN,중국,아시아
2020,HK,홍콩,아시아
2020,ID,인도네시아,아시아
2020,IN,인도,아시아
2020,JP,일본,아시아
2020,KG,키르기스스탄,아시아
2020,KH,캄보디아,아시아
2020,KP,북한,아시아
2020,KR,한국,아시아
2020,KZ,카자흐스탄,아시아
2020,LA,라오스,아시아
2020,LK,스리랑카,아시아
2020,MM,미얀마,아시아
2020,MN,몽골,아시아
2020,MO,마카오,아시아
2020,MV,몰디브,아시아
2020,MY,말레이시아,아시아
2020,NP,네팔,아시아
2020,PH,필리핀,아시아
2020,PK,파키스탄,아시아
2020,SG,싱가포르,아시아
2020,TH,태국,아시아
2020,TJ,타지크,아시아
2020,TL,티모르,아시아
2020,TM,투르크멘,아시아
2020,TW,대만,아시아
2020,UZ,우즈베크,아시아
2020,VN,베트남,아시아
2020,AE,아랍에미리트 연합,중동
2020,BH,바레인,중동
2020,DZ,알제리,중동
2020,EG,이집트,중동
2020,IL,이스라엘,중동
2020,IQ,이라크,중동
2020,IR,이란,중동
2020,JO,요르단,중동
2020,KW,쿠웨이트,중동
2020,LB,레바논,중동
2020,LY,리비아,중동
2020,MA,모로코,중동
2020,MR,모리타니,중동
2020,NT,중립지대,중동
2020,OM,오만,중동
2020,QA,카타르,중동
2020,SA,사우디아라비아,중동
2020,SD,수단,중동
2020,SY,시리아,중동
2020,TN,튀니지,중동
2020,YE,예맨,중동
2020,AD,안도라,유럽
2020,AL,알바니아,유럽
2020,AT,오스트리아,유럽
2020,AX,알랜드 군도,유럽
2020,BA,보스니아-헤르체고비나,유럽
2020,BE,벨기에,유럽
2020,BG,불가리아,유럽
2020,BY,베라루스,유럽
2020,CH,스위스,유럽
2020,CY,사이프러스,유럽
2020,CZ,체코공화국,유럽
2020,DE,독일,유럽
2020,DK,덴마크,유럽
2020,EE,에스토니아,유럽
2020,ER,에리트리아,유럽
2020,ES,스페인,유럽
2020,FI,핀란드,유럽
2020,FO,파로에 군도,유럽
2020,FR,프랑스,유럽
2020,FX,프랑스 메트로폴리탄,유럽
2020,GB,영국,유럽
2020,GE,조지아,유럽
2020,GG,건지,유럽
2020,GI,지브랄타,유럽
2020,GR,그리스,유럽
2020,GS,남조지아 & 남샌드위치 군도,유럽
2020,HR,크로아티아,유럽
2020,HU,헝가리,유럽
2020,IE,아일랜드,유럽
2020,IM,맨섬,유럽
2020,IS,아이슬란드,유럽
2020,IT,이탈리아,유럽
2020,JE,저어지,유럽
2020,LI,리히텐슈타인,유럽
2020,LT,리투아니아,유럽
2020,LU,룩셈부르그,유럽
2020,LV,라트비아,유럽
2020,MC,모나코,유럽
2020,MD,몰도바,유럽
2020,ME,몬테네그로,유럽
2020,MK,마세도니아,유럽
2020,MT,몰타,유럽
2020,NL,네덜란드,유럽
2020,NO,노르웨이,유럽
2020,PL,폴란드,유럽
2020,PT,포루투갈,유럽
2020,RO,루마니아,유럽
2020,RS,세르비아,유럽
2020,RU,러시아 연방,유럽
2020,SE,스웨덴,유럽
2020,SI,슬로베니아,유럽
2020,SJ,스발비드 군도,유럽
2020,SK,슬로바키아,유럽
2020,SM,산마리노,유럽
2020,TR,터키,유럽
2020,UA,우크라이나,유럽
2020,VA,교황청,유럽
2020,YU,유고,유럽
2020,CA,캐나다,북미
2020,US,미국,북미
2020,AG,안티가 바부다,중남미
2020,AN,네덜란드 열도,중남미
2020,AQ,안타티카,중남미
2020,AR,아르헨티나,중남미
2020,AW,아루바,중남미
2020,BB,바베이도스,중남미
2020,BL,세인트 바르탤르미,중남미
2020,BM,버뮤다,중남미
2020,BO,볼리비아,중남미
2020,BQ,보네르 신트외스타티위스,중남미
2020,BR,브라질,중남미
2020,BS,바하마,중남미
2020,BZ,벨리제,중남미
2020,CL,칠레,중남미
2020,CO,콜롬비아,중남미
2020,CR,코스타리카,중남미
2020,CU,쿠바,중남미
2020,CW,큐라소,중남미
2020,DM,도미니카,중남미
2020,DO,도미니카 공화국,중남미
2020,EC,에쿠아도르,중남미
2020,FK,포클랜드 군도,중남미
2020,GD,그레나다,중남미
2020,GF,불령 가이아나,중남미
2020,GL,그린랜드,중남미
2020,GP,과델로프,중남미
2020,GT,과테말라,중남미
2020,GY,가이아나,중남미
2020,HN,온두라스,중남미
2020,HT,아이티,중남미
2020,JM,자마이카,중남미
2020,KN,세인트 키츠 네비스,중남미
2020,KY,영령 캐이맨 군도,중남미
2020,LC,세인트 루시아,중남미
2020,MF,세인트 마틴,중남미
2020,MI,미드웨이 군도,중남미
2020,MQ,마티니크,중남미
2020,MS,몬트세라트,중남미
2020,MX,멕시코,중남미
2020,NI,니카라과,중남미
2020,PA,파나마,중남미
2020,PE,페루,중남미
2020,PM,세인트 피레 미켈론,중남미
2020,PR,푸에르토리코,중남미
2020,PY,파라과이,중남미
2020,PZ,파나마운하지역,중남미
2020,SR,수리남,중남미
2020,SV,엘살바도르,중남미
2020,TC,투르크 & 카이코스 군도,중남미
2020,TT,트리니다드 토바고,중남미
2020,UY,우루과이,중남미
2020,VC,세인트 빈센트 그레나딘,중남미
2020,VE,베네주엘라,중남미
2020,VG,영령 버진군도,중남미
2020,VI,미령 버진군도,중남미
2020,AI,앙귈라,아프리카
2020,AO,앙골라,아프리카
2020,BF,부르키나 파소,아프리카
2020,BI,부룬디,아프리카
2020,BJ,베닝,아프리카
2020,BV,보빗군도,아프리카
2020,BW,보츠와나,아프리카
2020,CD,콩고민주공화국,아프리카
2020,CF,중앙아프리카공화국,아프리카
2020,CG,콩고,아프리카
2020,CI,코트디봐르,아프리카
2020,CM,카메룬,아프리카
2020,CV,카보 베르데,아프리카
2020,DJ,지부티,아프리카
2020,EH,서사하라,아프리카
2020,ET,이디오피아,아프리카
2020,GA,가봉,아프리카
2020,GH,가나,아프리카
2020,GM,감비아,아프리카
2020,GN,기니,아프리카
2020,GQ,적도 기니,아프리카
2020,GW,기네비소,아프리카
2020,IO,영령 인도양,아프리카
2020,KE,케냐,아프리카
2020,KM,코모로스,아프리카
2020,LR,라이베리아,아프리카
2020,LS,레소토,아프리카
2020,MG,마다카스카르,아프리카
2020,ML,말리,아프리카
2020,MU,모리셔스,아프리카
2020,MW,말라위,아프리카
2020,MZ,모잠비크,아프리카
2020,NA,나미비아,아프리카
2020,NE,니제르,아프리카
2020,NG,나이지리아,아프리카
2020,PS,팔레스타인 해방기구,아프리카
2020,RE,불령 리유니온 코모도 제도,아프리카
2020,RW,루안다,아프리카
2020,SC,세이쉘,아프리카
2020,SH,세인트 헬레나,아프리카
2020,SL,시에라 리온,아프리카
2020,SN,세네갈,아프리카
2020,SO,소말리아,아프리카
2020,SS,남수단,아프리카
2020,ST,상토메 프린스페,아프리카
2020,SZ,스와질랜드,아프리카
2020,TD,챠드,아프리카
2020,TF,불령 남부지역,아프리카
2020,TG,토고,아프리카
2020,TZ,탄자니아,아프리카
2020,UG,우간다,아프리카
2020,YT,메요트,아프리카
2020,ZA,남아프리카공화국,아프리카
2020,ZM,잠비아,아프리카
2020,ZR,자이르,아프리카
2020,ZW,짐바브웨,아프리카
2020,AU,호주,오세아니아
2020,CK,쿡 아일랜드,오세아니아
2020,FJ,피지,오세아니아
2020,GU,괌,오세아니아
2020,NC,뉴 칼레도니아,오세아니아
2020,NR,나우르,오세아니아
2020,NU,니우에,오세아니아
2020,NZ,뉴질랜드,오세아니아
2020,PF,불령 폴리네시아,오세아니아
2020,PG,파푸아 뉴기니,오세아니아
2020,SB,솔로몬 군도,오세아니아
2020,TK,토켈라우,오세아니아
2020,TO,통가,오세아니아
2020,WS,사모아,오세아니아
2020,AS,아메리칸 사모아,대양주
2020,CC,코스 군도,대양주
2020,CT,캔톤아일랜드,대양주
2020,CX,크리스마스 아일랜드,대양주
2020,FM,마이크로네시아,대양주
2020,HM,허드 앤 맥도날드 군도,대양주
2020,JT,존스톤 아일랜드,대양주
2020,KI,키리바티,대양주
2020,MH,마샬군도,대양주
2020,MP,북마리아나 군도,대양주
2020,NF,노폴크 아일랜드,대양주
2020,PN,피트카이른,대양주
2020,PW,팔라우,대양주
2020,TV,투발루,대양주
2020,UM,마이너 아우틀링 합중국 군도,대양주
2020,VU,바누아투,대양주
2020,WF,왈라스 & 퓨투나 군도,대양주
2020,WK,웨이크 아일랜드,대양주
