국가,위중증,치명(%),완치(%),발생률,인구수,위중증_합계,위중증1일,확진자_합계,확진자1일,사망자_합계,사망자1일,완치_합계,완치1일
미국🇺🇸,"21819
-275",1.6,76.0,133095,331002651,"21,819",-275,43942335,+187382,"709,119",+2781,"33,394,833",+208564
인도🇮🇳,8944,1.3,97.8,24432,1380004385,"8,944",,33714241,+21093,"447,699",+337,"32,976,760",+28144
브라질🇧🇷,8318,2.8,95.3,100592,212559417,"8,318",,21366395,+14423,"594,702",+218,"20,361,191",+20818
영국🇬🇧,"878
-38",1.8,80.7,113959,67886011,878,-38,7701715,+37485,"136,208",+40,"6,219,111",+33541
러시아🇷🇺,2300,2.8,88.9,51151,145934462,"2,300",,7464708,+21559,"205,531",+852,"6,635,485",+17368
터키🇹🇷,633,0.9,92.3,84132,84339067,633,,7066688,+27188,"63,372",+206,"6,522,435",+25160
프랑스🇫🇷,1609,1.7,96.3,107278,65273511,"1,609",,6995628,+1309,"116,537",+74,"6,737,491",+14460
이란🇮🇷,"6124
-85",2.2,89.7,66192,83992949,"6,124",-85,5559691,+11701,"119,888",+239,"4,988,109",+22011
아르헨티나🇦🇷,"1200
-37",2.2,97.4,116245,45195774,"1,200",-37,5251940,+1538,"114,954",+92,"5,113,603",+2007
콜롬비아🇨🇴,542,2.5,96.8,97368,50882891,542,,4952690,+1015,"126,178",+33,"4,793,387",+1672
스페인🇪🇸,837,1.7,95.6,105956,46754778,837,,4951640,+5039,"86,298",+69,"4,736,022",+27855
이탈리아🇮🇹,"488
+5",2.8,95.0,77157,60461826,488,+5,4662087,+1773,"130,742",+45,"4,430,265",+2892
독일🇩🇪,1435,2.2,94.4,50350,83783942,"1,435",,4212201,+4941,"94,049",+66,"3,978,200",+11500
인도네시아🇮🇩,N/A,3.4,95.7,15397,273523615,N/A,,4211460,+2057,"141,709",+124,"4,031,099",+3551
멕시코🇲🇽,4798,7.6,82.3,28275,128932753,"4,798",,3635807,+3007,"275,676",+230,"2,991,723",+7262
폴란드🇵🇱,"168
+15",2.6,91.7,76747,37846611,168,+15,2904631,+976,"75,601",+29,"2,662,115",+107
남아프리카 공화국🇿🇦,546,3.0,95.4,48878,59308690,546,,2897521,+578,"87,216",+164,"2,762,812",+2719
필리핀🇵🇭,3170,1.5,93.3,23024,109581078,"3,170",,2522965,+32107,"37,686",+281,"2,353,140",+61134
우크라이나🇺🇦,177,2.3,93.6,55143,43733762,177,,2401956,+6552,"55,863",+143,"2,248,071",+2927
말레이시아🇲🇾,"978
-72",1.2,90.8,68607,32365999,978,-72,2209194,+10959,"25,695",+258,"2,005,939",+16430
페루🇵🇪,"1025
+2",9.2,N/A,65942,32971854,"1,025",+2,2173354,+320,"199,314",+22,N/A,
네덜란드🇳🇱,"160
-17",0.9,N/A,116697,17134872,160,-17,1999592,+1707,"18,162",+8,N/A,
이라크🇮🇶,"516
-5",1.1,95.3,49689,40222493,516,-5,1998615,+2401,"22,187",+45,"1,904,022",+3795
일본🇯🇵*,"1066
-44",1.0,96.8,13428,126476461,"1,066",-44,1698344,+1722,"17,577",+50,"1,643,625",+4341
체코🇨🇿,"36
+6",1.8,97.8,157882,10708981,36,+6,1690288,+668,"30,454",,"1,653,600",+431
칠레🇨🇱,"389
+9",2.3,97.3,86460,19116201,389,+9,1652795,+431,"37,449",+4,"1,608,584",+1088
캐나다🇨🇦,638,1.7,95.4,42813,37742154,638,,1612431,+10052,"27,698",+49,"1,538,280",+10029
태국🇹🇭,3324,1.0,91.6,22806,69799978,"3,324",,1581415,+9489,"16,498",+129,"1,448,206",+12805
방글라데시🇧🇩,"1408
-5",1.8,97.4,9435,164689383,"1,408",-5,1553873,+1310,"27,470",+31,"1,513,876",+1195
이스라엘🇮🇱,641,0.6,94.9,147235,8655535,641,,1270230,,"7,684",,"1,205,657",
파키스탄🇵🇰,"4015
-18",2.2,93.8,5629,220892340,"4,015",-18,1241825,+1400,"27,638",+41,"1,164,219",+2042
