한글표기,위중증_합계,위중증1일,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자_합계,사망자1일,완치_합계,완치1일,kr_code,en_code,country,etc,백신보유량,인구당_백신보유율,1차접종,2차접종,일별접종수
미국,20920.0,-376.0,1.6,76.1,133861,331002651,44201900,146208.0,713969,2747.0,113744.0,113744.0,미국,U.S.,,,392909980.0,61.4,64.6,55.6,725777.0
인도,8944.0,,1.3,97.8,24468,1380004385,33761481,42497.0,448303,475.0,44436.0,44436.0,인도,India,,,890038700.0,32.5,47.2,17.1,6966795.0
브라질,8318.0,,2.8,95.4,100805,212559417,21399546,17756.0,596163,643.0,21458.0,21458.0,브라질,Brazil,,,234674910.0,56.8,71.5,42.3,1332519.0
영국,826.0,-5.0,1.8,81.0,115002,67886011,7771294,35059.0,136525,150.0,36884.0,36884.0,영국,U.K.,,,93696490.0,70.1,73.1,67.2,63684.0
러시아,2300.0,,2.8,88.8,51468,145934462,7511026,23888.0,207255,867.0,18826.0,18826.0,러시아,Russia,,,90580440.0,30.9,32.7,28.7,230809.0
터키,633.0,,0.9,92.4,84825,84339067,7124966,29386.0,63838,227.0,31018.0,31018.0,터키,Turkey,,,109525624.0,65.9,64.8,53.5,373487.0
프랑스,1609.0,,1.7,96.5,107447,65273511,7008228,5835.0,116657,42.0,10927.0,10927.0,프랑스,France,,,94573790.0,72.9,77.5,74.8,248504.0
이란,5093.0,-923.0,2.2,90.1,66518,83992949,5587040,14078.0,120428,268.0,22019.0,22019.0,이란,Iran,,,51950784.0,31.2,43.6,18.8,953168.0
아르헨티나,1160.0,-24.0,2.2,97.4,116314,45195774,5255261,1496.0,115130,92.0,1190.0,1190.0,아르헨티나,Argentina,,,51773290.0,57.6,65.9,49.3,213630.0
스페인,731.0,-40.0,1.7,95.8,106066,46754778,4956691,2761.0,86397,39.0,5103.0,5103.0,스페인,Spain,,,70083820.0,75.4,81.1,78.8,63084.0
콜롬비아,542.0,,2.5,96.8,97425,50882891,4955848,1472.0,126261,42.0,1992.0,1992.0,콜롬비아,Colombia,,,40168280.0,39.9,51.7,33.1,185394.0
이탈리아,450.0,-9.0,2.8,95.1,77278,60461826,4668261,3212.0,130870,63.0,6042.0,6042.0,이탈리아,Italy,,,84757630.0,70.2,74.7,74.8,203654.0
독일,1435.0,,2.2,94.2,50627,83783942,4233907,12576.0,94207,67.0,,,독일,Germany,,,107653600.0,64.8,68.0,64.5,186276.0
인도네시아,,,3.4,95.8,15410,273523615,4215104,1690.0,141939,113.0,2848.0,2848.0,인도네시아,Indonesia,,,142192370.0,26.6,33.7,18.9,1737233.0
멕시코,4798.0,,7.6,82.3,28351,128932753,3655395,9796.0,276972,596.0,7899.0,7899.0,멕시코,Mexico,,,100516960.0,39.4,49.9,35.5,427607.0
폴란드,172.0,-2.0,2.6,91.6,76812,37846611,2907071,1205.0,75650,27.0,352.0,352.0,폴란드,Poland,,,37212956.0,49.0,52.2,51.1,19980.0
남아프리카 공화국,546.0,,3.0,95.4,48942,59308690,2900994,2106.0,87525,108.0,1192.0,1192.0,남아프리카 공화국,South Africa,,,17505358.0,16.7,20.9,14.5,107175.0
필리핀,3170.0,,1.5,93.1,23270,109581078,2549966,14234.0,38294,130.0,8149.0,8149.0,필리핀,Philippines,,,45147576.0,21.0,25.2,22.4,355457.0
우크라이나,177.0,,2.3,93.1,55412,43733762,2423379,11757.0,56274,194.0,3839.0,3839.0,우크라이나,Ukraine,,,18235448.0,21.8,30.2,13.5,158539.0
말레이시아,978.0,-7.0,1.2,91.2,69384,32365999,2232960,12434.0,26143,208.0,17000.0,17000.0,말레이시아,Malaysia,,,43367580.0,66.6,71.7,61.7,304623.0
페루,1025.0,4.0,9.2,,65975,32971854,2175305,1086.0,199367,38.0,,,페루,Peru,,,26327868.0,39.7,47.4,32.0,239333.0
이라크,482.0,-15.0,1.1,95.4,49806,40222493,2003303,2434.0,22260,39.0,3497.0,3497.0,이라크,Iraq,,,7608508.0,9.7,12.0,7.5,26701.0
네덜란드,152.0,-3.0,0.9,,116899,17134872,2003050,1703.0,18170,2.0,,,네덜란드,Netherlands,,,23585124.0,68.4,74.4,66.9,20723.0
일본,936.0,-66.0,1.0,97.1,13456,126476461,1701897,1571.0,17666,41.0,4904.0,4904.0,일본,Japan,,,163738220.0,64.9,70.3,59.5,1138904.0
체코,34.0,-4.0,1.8,97.8,157951,10708981,1691489,731.0,30459,4.0,187.0,187.0,체코,Czech Republic,,,11800850.0,55.4,57.1,55.9,7620.0
칠레,378.0,-8.0,2.3,97.3,86537,19116201,1654264,858.0,37468,13.0,505.0,505.0,칠레,Chile,,,31887444.0,83.4,79.4,73.9,110980.0
