지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),적설(cm),지면온도(°C)
108,서울,2016-01-01 00:00,-1.9,,.1,85,,,-.8
108,서울,2016-01-01 01:00,-2.1,,1.6,83,,,-.9
108,서울,2016-01-01 02:00,-2.2,,.4,86,,,-1
108,서울,2016-01-01 03:00,-2.5,,1.8,90,,,-1
108,서울,2016-01-01 04:00,-2.9,,1.9,90,,,-1.2
108,서울,2016-01-01 05:00,-3.2,,2,92,,,-1.2
108,서울,2016-01-01 06:00,-3.1,,1.3,90,,,-.6
108,서울,2016-01-01 07:00,-2.6,,1.6,88,,,-.7
108,서울,2016-01-01 08:00,-2.4,,2.4,88,0,,-.5
108,서울,2016-01-01 09:00,-2,,2,84,.1,,-.2
108,서울,2016-01-01 10:00,-.6,,1.1,72,1,,0
108,서울,2016-01-01 11:00,1.5,,1.3,70,.7,,.9
108,서울,2016-01-01 12:00,2.2,,1.9,66,.1,,1.1
108,서울,2016-01-01 13:00,3.1,,1.3,60,0,,2.1
108,서울,2016-01-01 14:00,3.6,,.9,56,.2,,1.7
108,서울,2016-01-01 15:00,4,,3.1,57,0,,1.7
108,서울,2016-01-01 16:00,3.9,,3,59,0,,.9
108,서울,2016-01-01 17:00,3.9,,2.2,61,0,,.4
108,서울,2016-01-01 18:00,3.8,,3,63,0,,.4
108,서울,2016-01-01 19:00,3.8,,2.6,64,,,.4
108,서울,2016-01-01 20:00,3.8,,2,65,,,.4
108,서울,2016-01-01 21:00,3.7,,1,65,,,.4
108,서울,2016-01-01 22:00,3.7,,.8,65,,,.5
108,서울,2016-01-01 23:00,3.6,,.3,68,,,.6
108,서울,2016-01-02 00:00,3.6,,.6,69,,,.6
108,서울,2016-01-02 01:00,3.4,,.7,72,,,.6
108,서울,2016-01-02 02:00,3.4,,.7,70,,,.4
108,서울,2016-01-02 03:00,3,,1.7,74,,,0
108,서울,2016-01-02 04:00,2.6,,1.2,76,,,-.1
108,서울,2016-01-02 05:00,2.2,,1.9,78,,,0
108,서울,2016-01-02 06:00,2,,1.6,77,,,.1
108,서울,2016-01-02 07:00,1.5,,1.6,82,,,0
108,서울,2016-01-02 08:00,1,,1.9,83,0,,-.1
108,서울,2016-01-02 09:00,1.9,,2,78,0,,.1
108,서울,2016-01-02 10:00,3.4,,1.9,74,.2,,.6
108,서울,2016-01-02 11:00,5,,1.6,68,.7,,4.4
108,서울,2016-01-02 12:00,6.2,,1.8,67,.6,,5.4
108,서울,2016-01-02 13:00,7.5,,1.3,63,.4,,8.2
108,서울,2016-01-02 14:00,8.8,,2.8,66,.3,,8.3
108,서울,2016-01-02 15:00,9.1,,2.7,68,.5,,7.2
108,서울,2016-01-02 16:00,9.4,,3.3,68,.7,,6.8
108,서울,2016-01-02 17:00,8.9,,3.1,72,.2,,5.5
108,서울,2016-01-02 18:00,8.6,,2.9,78,0,,5.1
108,서울,2016-01-02 19:00,8.5,,1.8,80,,,4.9
108,서울,2016-01-02 20:00,8,,1.7,84,,,3.8
108,서울,2016-01-02 21:00,7.7,,1.6,83,,,3.7
108,서울,2016-01-02 22:00,7.5,,1.3,85,,,3.8
108,서울,2016-01-02 23:00,7.3,,1.6,88,,,3
108,서울,2016-01-03 00:00,6.9,,2,90,,,2.4
108,서울,2016-01-03 01:00,6.9,,2,89,,,3.1
108,서울,2016-01-03 02:00,6.8,,1.8,90,,,3.4
108,서울,2016-01-03 03:00,6.3,,1.3,93,,,2.3
108,서울,2016-01-03 04:00,5.9,,.5,93,,,2.7
108,서울,2016-01-03 05:00,5.8,,1.6,92,,,3
108,서울,2016-01-03 06:00,5.5,,1.2,93,,,2.8
108,서울,2016-01-03 07:00,5.5,,.3,93,,,2.9
108,서울,2016-01-03 08:00,5.4,,.7,94,0,,3.3
108,서울,2016-01-03 09:00,5.3,,.3,92,0,,3.2
108,서울,2016-01-03 10:00,5.7,,.7,88,0,,4.9
108,서울,2016-01-03 11:00,6.8,,1.4,77,.1,,7.5
108,서울,2016-01-03 12:00,7.7,,2.4,73,.2,,8.8
108,서울,2016-01-03 13:00,8.3,,4,68,.5,,9.9
108,서울,2016-01-03 14:00,8.4,,2.8,67,.1,,9.4
108,서울,2016-01-03 15:00,9.3,,2.1,63,.9,,9.9
108,서울,2016-01-03 16:00,8.6,,2.4,66,.4,,7.3
108,서울,2016-01-03 17:00,7.5,,2,70,0,,5.4
108,서울,2016-01-03 18:00,6.8,,2,74,0,,4.4
108,서울,2016-01-03 19:00,6.7,,1.8,74,,,4.3
108,서울,2016-01-03 20:00,6.1,,3.6,80,,,3.5
108,서울,2016-01-03 21:00,6,,2.6,78,,,3.8
108,서울,2016-01-03 22:00,5.9,,2.2,80,,,3.9
108,서울,2016-01-03 23:00,5.6,,2.1,79,,,3.7
108,서울,2016-01-04 00:00,5.1,,2.8,79,,,3.3
108,서울,2016-01-04 01:00,4.4,,2.4,80,,,3.1
108,서울,2016-01-04 02:00,4.3,,1.7,77,,,3.2
108,서울,2016-01-04 03:00,4.2,,2.5,80,,,3.1
108,서울,2016-01-04 04:00,4.2,,3.3,76,,,3.1
108,서울,2016-01-04 05:00,3.7,,2.7,83,,,2.8
108,서울,2016-01-04 06:00,3.1,,2.8,80,,,2.6
108,서울,2016-01-04 07:00,1.9,,3.1,70,,,1.1
108,서울,2016-01-04 08:00,1.1,,1.5,76,0,,.5
108,서울,2016-01-04 09:00,1.3,,3.5,72,.5,,1.5
108,서울,2016-01-04 10:00,2,,3.7,57,1,,3
108,서울,2016-01-04 11:00,2.8,,3.7,49,1,,6.8
108,서울,2016-01-04 12:00,4,,4.2,38,1,,9.5
108,서울,2016-01-04 13:00,4.8,,4.2,33,1,,9.4
108,서울,2016-01-04 14:00,4.5,,3.6,38,1,,9.8
108,서울,2016-01-04 15:00,4.9,,3.3,32,1,,7.2
