,지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),적설(cm),지면온도(°C)
0,108,서울,2017-01-01 00:00,0.2,,2.2,79,,,-0.9
1,108,서울,2017-01-01 01:00,0.0,,1.4,78,,,-0.9
2,108,서울,2017-01-01 02:00,-0.3,,1.9,81,,,-1.8
3,108,서울,2017-01-01 03:00,-0.7,,2.0,84,,,-2.1
4,108,서울,2017-01-01 04:00,-1.1,,1.6,85,,,-2.4
5,108,서울,2017-01-01 05:00,-1.4,,1.4,86,,,-2.6
6,108,서울,2017-01-01 06:00,-1.5,,1.6,87,,,-2.7
7,108,서울,2017-01-01 07:00,-1.5,,1.4,87,,,-2.2
8,108,서울,2017-01-01 08:00,-1.3,,1.4,87,0.0,,-1.8
9,108,서울,2017-01-01 09:00,-0.4,,1.6,83,0.0,,-0.2
10,108,서울,2017-01-01 10:00,0.8,,2.1,77,0.1,,0.6
11,108,서울,2017-01-01 11:00,2.5,,1.9,71,0.6,,2.9
12,108,서울,2017-01-01 12:00,4.0,,1.3,69,0.2,,3.6
13,108,서울,2017-01-01 13:00,5.1,,1.4,65,0.1,,5.1
14,108,서울,2017-01-01 14:00,6.7,,0.7,61,0.7,,7.2
15,108,서울,2017-01-01 15:00,6.9,,0.9,65,0.0,,5.0
16,108,서울,2017-01-01 16:00,6.8,,1.2,67,0.0,,4.3
17,108,서울,2017-01-01 17:00,6.5,,0.7,69,0.0,,3.2
18,108,서울,2017-01-01 18:00,5.6,,2.4,70,0.0,,2.4
19,108,서울,2017-01-01 19:00,4.8,,2.2,73,,,1.2
20,108,서울,2017-01-01 20:00,4.2,,1.9,73,,,0.6
21,108,서울,2017-01-01 21:00,4.0,,2.6,74,,,0.8
22,108,서울,2017-01-01 22:00,3.9,,1.4,75,,,1.4
23,108,서울,2017-01-01 23:00,3.9,,1.4,75,,,1.5
24,108,서울,2017-01-02 00:00,3.9,,1.5,75,,,1.8
25,108,서울,2017-01-02 01:00,3.9,,2.1,75,,,1.8
26,108,서울,2017-01-02 02:00,3.8,,2.2,77,,,1.6
27,108,서울,2017-01-02 03:00,3.7,,1.7,76,,,1.7
28,108,서울,2017-01-02 04:00,3.7,,1.5,77,,,1.7
29,108,서울,2017-01-02 05:00,3.7,,1.5,80,,,2.3
30,108,서울,2017-01-02 06:00,3.6,0.3,1.1,89,,,2.2
31,108,서울,2017-01-02 07:00,3.6,,1.1,88,,,2.6
