거래일자,지역,연료원,발전량
2018-01-01,강원도,석탄,46702.25924
2018-01-01,경기도,석탄,1095.34614
2018-01-01,경상남도,석탄,143844.153
2018-01-01,경상북도,석탄,2742.10748
2018-01-01,대구시,석탄,0
2018-01-01,부산시,석탄,0
2018-01-01,인천시,석탄,111652.6511
2018-01-01,전라남도,석탄,26116.1731
2018-01-01,전라북도,석탄,19139.06915
2018-01-01,충청남도,석탄,290788.3709
2018-01-01,경기도,유류,722.180256
2018-01-01,경상남도,유류,183.469188
2018-01-01,대구시,유류,0
2018-01-01,대전시,유류,609.191856
2018-01-01,울산시,유류,0
2018-01-01,전라북도,유류,403.656684
2018-01-01,제주도,유류,6834.350544
2018-01-01,충청남도,유류,0
2018-01-01,충청북도,유류,1107.251292
2018-01-01,강원도,LNG,7002.80196
2018-01-01,경기도,LNG,114569.4599
2018-01-01,경상북도,LNG,0
2018-01-01,광주시,LNG,1784.461196
2018-01-01,대구시,LNG,361.78128
2018-01-01,부산시,LNG,1332.42348
2018-01-01,서울시,LNG,954.366322
2018-01-01,세종시,LNG,12244.9908
2018-01-01,울산시,LNG,20480.3062
2018-01-01,인천시,LNG,44376.72413
2018-01-01,전라남도,LNG,18300.15813
2018-01-01,전라북도,LNG,0
2018-01-01,충청남도,LNG,10866.57629
2018-01-01,대전시,LNG,450.173808
2018-01-02,강원도,석탄,38744.2446
2018-01-02,경기도,석탄,1303.019928
2018-01-02,경상남도,석탄,159881.1203
2018-01-02,경상북도,석탄,2683.283624
2018-01-02,대구시,석탄,47.781888
2018-01-02,부산시,석탄,101.66832
2018-01-02,인천시,석탄,112549.5871
2018-01-02,전라남도,석탄,28611.08579
2018-01-02,전라북도,석탄,19027.19796
2018-01-02,충청남도,석탄,334588.0016
2018-01-02,경기도,유류,15178.41938
2018-01-02,경상남도,유류,275.3625
2018-01-02,대구시,유류,0
2018-01-02,대전시,유류,764.945888
2018-01-02,울산시,유류,16951.38055
2018-01-02,전라북도,유류,401.642736
2018-01-02,제주도,유류,8005.821152
2018-01-02,충청남도,유류,0
2018-01-02,충청북도,유류,721.19208
2018-01-02,강원도,LNG,15289.94376
2018-01-02,경기도,LNG,220945.6311
2018-01-02,경상북도,LNG,4480.925992
2018-01-02,광주시,LNG,2402.535786
2018-01-02,대구시,LNG,5965.7892
2018-01-02,부산시,LNG,21781.35959
2018-01-02,서울시,LNG,945.310669
2018-01-02,세종시,LNG,11981.88746
2018-01-02,울산시,LNG,29245.86745
