지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),적설(cm),지면온도(°C)
108,서울,2018-01-01 00:00,-3.2,,.5,40,,,-2.2
108,서울,2018-01-01 01:00,-3.3,,.7,41,,,-2.7
108,서울,2018-01-01 02:00,-3.7,,.9,42,,,-3
108,서울,2018-01-01 03:00,-4,,1,44,,,-3.5
108,서울,2018-01-01 04:00,-4.2,,1.1,53,,,-3.8
108,서울,2018-01-01 05:00,-4.4,,.8,54,,,-4.2
108,서울,2018-01-01 06:00,-4.5,,1.1,51,,,-4.4
108,서울,2018-01-01 07:00,-4.7,,1.1,56,,,-4.7
108,서울,2018-01-01 08:00,-5,,1,55,0,,-4.9
108,서울,2018-01-01 09:00,-4.3,,.7,39,.6,,-3.6
108,서울,2018-01-01 10:00,-1.6,,.8,32,1,,-.8
108,서울,2018-01-01 11:00,.1,,2.2,27,1,,0
108,서울,2018-01-01 12:00,1.5,,2.8,20,1,,.3
108,서울,2018-01-01 13:00,2.4,,2.3,22,1,,1.2
108,서울,2018-01-01 14:00,3.7,,2.1,24,1,,1.4
108,서울,2018-01-01 15:00,3,,2.9,27,1,,1.4
108,서울,2018-01-01 16:00,3,,2.5,28,.9,,0
108,서울,2018-01-01 17:00,1.8,,3.3,33,.8,,0
108,서울,2018-01-01 18:00,.8,,1.9,34,0,,-.4
108,서울,2018-01-01 19:00,-.1,,1.3,39,,,-.7
108,서울,2018-01-01 20:00,-.3,,1.2,40,,,-.8
108,서울,2018-01-01 21:00,-.9,,1.2,44,,,-1.2
108,서울,2018-01-01 22:00,-1.3,,.8,48,,,-1.8
108,서울,2018-01-01 23:00,-1.6,,.7,51,,,-2.3
108,서울,2018-01-02 00:00,-1.8,,1.1,54,,,-2.6
108,서울,2018-01-02 01:00,-2.1,,.8,56,,,-3
108,서울,2018-01-02 02:00,-2.3,,.9,62,,,-3.3
108,서울,2018-01-02 03:00,-2.5,,.4,62,,,-3.7
108,서울,2018-01-02 04:00,-2.7,,.5,67,,,-3.9
108,서울,2018-01-02 05:00,-3.1,,.6,67,,,-4.1
108,서울,2018-01-02 06:00,-3.2,,.4,67,,,-4.3
108,서울,2018-01-02 07:00,-3.2,,.5,69,,,-4.3
108,서울,2018-01-02 08:00,-3.4,,.8,71,0,,-4.4
108,서울,2018-01-02 09:00,-3.1,,.2,66,0,,-3.1
108,서울,2018-01-02 10:00,-1.4,,1.9,50,1,,-.9
108,서울,2018-01-02 11:00,-.4,,2.3,40,1,,-.1
108,서울,2018-01-02 12:00,.9,,1.9,29,1,,.1
108,서울,2018-01-02 13:00,1.5,,3.6,23,1,,.9
108,서울,2018-01-02 14:00,1.7,,4.4,20,1,,1
108,서울,2018-01-02 15:00,1.5,,3,22,1,,.6
108,서울,2018-01-02 16:00,1.3,,2.9,23,1,,0
108,서울,2018-01-02 17:00,.3,,2.6,27,.9,,-.2
108,서울,2018-01-02 18:00,-.8,,2.3,24,0,,-.9
108,서울,2018-01-02 19:00,-1.3,,2.4,28,,,-1.4
