일자|시간|구분,공급량
2019-01-01 01 A,1934.5658
2019-01-01 02 A,1681.1307
2019-01-01 03 A,1568.1753
2019-01-01 04 A,1609.5328
2019-01-01 05 A,1775.0659
2019-01-01 06 A,1822.5911
2019-01-01 07 A,2017.6533
2019-01-01 08 A,2348.8308
2019-01-01 09 A,2511.8816
2019-01-01 10 A,2513.1892
2019-01-01 11 A,2470.0332
2019-01-01 12 A,2320.7996
2019-01-01 13 A,2164.271
2019-01-01 14 A,2024.161
2019-01-01 15 A,1923.8529
2019-01-01 16 A,1904.5093
2019-01-01 17 A,1955.357
2019-01-01 18 A,2137.9973
2019-01-01 19 A,2510.5994
2019-01-01 20 A,2572.9827
2019-01-01 21 A,2479.735
2019-01-01 22 A,2454.178
2019-01-01 23 A,2349.1448
2019-01-01 24 A,2156.508
2019-01-02 01 A,2038.9127
2019-01-02 02 A,1819.4716
2019-01-02 03 A,1700.5052
2019-01-02 04 A,1721.9703
2019-01-02 05 A,1891.1299
2019-01-02 06 A,2036.1132
2019-01-02 07 A,2293.1985
2019-01-02 08 A,2704.7234
2019-01-02 09 A,2817.6775
2019-01-02 10 A,2766.8608
2019-01-02 11 A,2711.0977
2019-01-02 12 A,2495.635
2019-01-02 13 A,2288.3486
2019-01-02 14 A,2158.43
2019-01-02 15 A,2058.9326
2019-01-02 16 A,2040.5677
2019-01-02 17 A,2097.7258
2019-01-02 18 A,2278.688
2019-01-02 19 A,2632.4734
2019-01-02 20 A,2730.2158
2019-01-02 21 A,2667.1165
2019-01-02 22 A,2583.8357
2019-01-02 23 A,2482.4849
2019-01-02 24 A,2278.9182
2019-01-03 01 A,2122.483
2019-01-03 02 A,1918.3563
2019-01-03 03 A,1844.444
2019-01-03 04 A,1896.5936
2019-01-03 05 A,2067.2031
2019-01-03 06 A,2202.4846
2019-01-03 07 A,2466.2249
2019-01-03 08 A,2879.9644
2019-01-03 09 A,2978.3528
2019-01-03 10 A,2926.3755
2019-01-03 11 A,2823.213
2019-01-03 12 A,2635.68
2019-01-03 13 A,2421.6272
2019-01-03 14 A,2330.2192
2019-01-03 15 A,2151.5356
2019-01-03 16 A,2133.1707
2019-01-03 17 A,2200.1423
2019-01-03 18 A,2494.3384
2019-01-03 19 A,2795.3545
2019-01-03 20 A,2888.76
2019-01-03 21 A,2849.2104
2019-01-03 22 A,2759.7654
2019-01-03 23 A,2635.5764
2019-01-03 24 A,2421.8936
2019-01-04 01 A,2049.408
2019-01-04 02 A,1794.6465
2019-01-04 03 A,1693.6262
2019-01-04 04 A,1740.3849
2019-01-04 05 A,1902.678
2019-01-04 06 A,2035.4579
2019-01-04 07 A,2305.6367
2019-01-04 08 A,2724.2961
2019-01-04 09 A,2843.9956
2019-01-04 10 A,2782.668
2019-01-04 11 A,2667.6938
2019-01-04 12 A,2477.036
2019-01-04 13 A,2271.5417
2019-01-04 14 A,2176.1665
2019-01-04 15 A,2065.5903
2019-01-04 16 A,2047.2256
2019-01-04 17 A,2105.432
2019-01-04 18 A,2315.3438
2019-01-04 19 A,2655.0234
2019-01-04 20 A,2732.6443
2019-01-04 21 A,2667.048
2019-01-04 22 A,2560.4587
2019-01-04 23 A,2461.8025
2019-01-04 24 A,2283.9924
2019-01-05 01 A,1959.2421
2019-01-05 02 A,1720.0208
2019-01-05 03 A,1655.062
2019-01-05 04 A,1677.441
2019-01-05 05 A,1882.747
2019-01-05 06 A,2006.0057
2019-01-05 07 A,2276.1843
2019-01-05 08 A,2702.5415
2019-01-05 09 A,2823.2307
2019-01-05 10 A,2767.9292
2019-01-05 11 A,2634.7742
2019-01-05 12 A,2481.4744
2019-01-05 13 A,2251.9626
2019-01-05 14 A,2164.7036
2019-01-05 15 A,1992.0778
2019-01-05 16 A,1972.7343
2019-01-05 17 A,2026.7274
2019-01-05 18 A,2301.6997
2019-01-05 19 A,2630.9785
2019-01-05 20 A,2686.879
2019-01-05 21 A,2668.164
2019-01-05 22 A,2560.2517
2019-01-05 23 A,2440.357
2019-01-05 24 A,2251.4587
2019-01-06 01 A,1957.2742
2019-01-06 02 A,1720.8531
2019-01-06 03 A,1619.2864
2019-01-06 04 A,1636.7137
2019-01-06 05 A,1866.3345
2019-01-06 06 A,1972.1294
2019-01-06 07 A,2222.9956
2019-01-06 08 A,2640.0354
2019-01-06 09 A,2770.6067
2019-01-06 10 A,2710.509
2019-01-06 11 A,2639.0452
2019-01-06 12 A,2420.1104
2019-01-06 13 A,2245.635
2019-01-06 14 A,2106.2385
2019-01-06 15 A,1978.3826
2019-01-06 16 A,1959.039
2019-01-06 17 A,2013.0322
2019-01-06 18 A,2232.13
2019-01-06 19 A,2594.9492
2019-01-06 20 A,2657.9648
2019-01-06 21 A,2583.1812
2019-01-06 22 A,2471.2424
2019-01-06 23 A,2357.2766
2019-01-06 24 A,2230.7834
2019-01-07 01 A,2010.0853
2019-01-07 02 A,1820.3234
2019-01-07 03 A,1683.7523
2019-01-07 04 A,1719.5804
2019-01-07 05 A,1904.4282
2019-01-07 06 A,2027.687
2019-01-07 07 A,2293.6196
2019-01-07 08 A,2723.0725
2019-01-07 09 A,2842.8804
2019-01-07 10 A,2782.7827
2019-01-07 11 A,2703.3618
2019-01-07 12 A,2483.3923
2019-01-07 13 A,2283.5962
2019-01-07 14 A,2170.2888
2019-01-07 15 A,2019.7375
2019-01-07 16 A,2001.3727
2019-01-07 17 A,2055.3645
2019-01-07 18 A,2327.6362
2019-01-07 19 A,2637.9172
2019-01-07 20 A,2696.4038
2019-01-07 21 A,2668.3467
2019-01-07 22 A,2566.9438
2019-01-07 23 A,2443.3809
2019-01-07 24 A,2267.1533
2019-01-08 01 A,1938.2085
2019-01-08 02 A,1692.5175
2019-01-08 03 A,1576.793
2019-01-08 04 A,1622.1376
2019-01-08 05 A,1849.0037
2019-01-08 06 A,1954.5748
2019-01-08 07 A,2205.4404
2019-01-08 08 A,2622.453
2019-01-08 09 A,2738.3174
2019-01-08 10 A,2636.3757
2019-01-08 11 A,2558.9905
2019-01-08 12 A,2388.576
2019-01-08 13 A,2203.2021
2019-01-08 14 A,2063.8008
2019-01-08 15 A,1956.6163
2019-01-08 16 A,1936.0873
2019-01-08 17 A,1988.8745
2019-01-08 18 A,2190.2192
2019-01-08 19 A,2550.8625
2019-01-08 20 A,2591.3381
2019-01-08 21 A,2567.0366
2019-01-08 22 A,2455.098
2019-01-08 23 A,2409.132
2019-01-08 24 A,2243.002
2019-01-09 01 A,1958.2954
2019-01-09 02 A,1745.5674
2019-01-09 03 A,1674.6438
2019-01-09 04 A,1721.9017
2019-01-09 05 A,1895.1277
2019-01-09 06 A,2017.8044
2019-01-09 07 A,2283.736
2019-01-09 08 A,2712.0244
2019-01-09 09 A,2836.098
2019-01-09 10 A,2766.517
2019-01-09 11 A,2681.0408
2019-01-09 12 A,2455.4707
2019-01-09 13 A,2241.979
2019-01-09 14 A,2090.812
2019-01-09 15 A,1957.95
2019-01-09 16 A,1938.6063
2019-01-09 17 A,1992.5992
2019-01-09 18 A,2260.7356
2019-01-09 19 A,2599.3013
2019-01-09 20 A,2657.7878
2019-01-09 21 A,2654.0042
2019-01-09 22 A,2527.7866
2019-01-09 23 A,2450.3901
2019-01-09 24 A,2261.9126
2019-01-10 01 A,1970.19
2019-01-10 02 A,1757.4619
2019-01-10 03 A,1686.5383
2019-01-10 04 A,1731.7795
2019-01-10 05 A,1905.0055
2019-01-10 06 A,2027.6823
2019-01-10 07 A,2293.6145
2019-01-10 08 A,2721.9573
2019-01-10 09 A,2852.7761
2019-01-10 10 A,2783.1953
2019-01-10 11 A,2696.5378
2019-01-10 12 A,2479.8696
2019-01-10 13 A,2267.1301
2019-01-10 14 A,2156.9392
2019-01-10 15 A,1986.9655
2019-01-10 16 A,1967.6218
2019-01-10 17 A,2021.6149
2019-01-10 18 A,2296.1633
2019-01-10 19 A,2622.145
2019-01-10 20 A,2680.6316
2019-01-10 21 A,2666.1472
2019-01-10 22 A,2541.1633
2019-01-10 23 A,2462.855
2019-01-10 24 A,2270.1755
2019-01-11 01 A,1982.5968
2019-01-11 02 A,1731.2085
2019-01-11 03 A,1688.2327
2019-01-11 04 A,1735.4742
2019-01-11 05 A,1916.7466
2019-01-11 06 A,2042.378
2019-01-11 07 A,2309.4333
2019-01-11 08 A,2742.1611
2019-01-11 09 A,2876.5332
2019-01-11 10 A,2793.6685
2019-01-11 11 A,2688.324
2019-01-11 12 A,2512.3525
2019-01-11 13 A,2266.802
2019-01-11 14 A,2130.9119
2019-01-11 15 A,2011.0369
2019-01-11 16 A,1991.6932
2019-01-11 17 A,2050.1572
2019-01-11 18 A,2270.1829
2019-01-11 19 A,2620.7012
2019-01-11 20 A,2680.8809
2019-01-11 21 A,2598.4329
2019-01-11 22 A,2547.6936
2019-01-11 23 A,2450.6624
2019-01-11 24 A,2263.044
2019-01-12 01 A,2012.6388
2019-01-12 02 A,1755.5647
2019-01-12 03 A,1641.897
2019-01-12 04 A,1659.3445
2019-01-12 05 A,1852.5629
2019-01-12 06 A,1979.0365
2019-01-12 07 A,2207.8247
2019-01-12 08 A,2643.7253
2019-01-12 09 A,2756.6416
2019-01-12 10 A,2705.7427
2019-01-12 11 A,2657.5515
2019-01-12 12 A,2430.3193
2019-01-12 13 A,2218.7507
2019-01-12 14 A,2143.1711
2019-01-12 15 A,2035.9222
2019-01-12 16 A,2015.3926
2019-01-12 17 A,2064.7266
2019-01-12 18 A,2270.8916
2019-01-12 19 A,2611.5923
2019-01-12 20 A,2660.1665
2019-01-12 21 A,2588.793
2019-01-12 22 A,2521.9402
2019-01-12 23 A,2411.0212
2019-01-12 24 A,2253.2964
2019-01-13 01 A,2022.1335
2019-01-13 02 A,1775.3141
