지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),적설(cm),지면온도(°C)
108,서울,2013-01-01 00:00,-8.3,,3.6,56,,6.4,-3.3
108,서울,2013-01-01 01:00,-8.5,,4,57,,6.4,-3.4
108,서울,2013-01-01 02:00,-8.4,,4,60,,6.4,-3.4
108,서울,2013-01-01 03:00,-8.1,,3.4,58,,6.4,-3.4
108,서울,2013-01-01 04:00,-8.2,,3.8,58,,6.4,-3.4
108,서울,2013-01-01 05:00,-8.2,,4.4,61,,6.4,-3.3
108,서울,2013-01-01 06:00,-8.6,.2,4.8,81,,6.9,-3.1
108,서울,2013-01-01 07:00,-8.3,,4.4,85,,8,-3
108,서울,2013-01-01 08:00,-7.9,,4.5,84,0,9.2,-2.8
108,서울,2013-01-01 09:00,-7,1.2,3.7,81,0,9.2,-2.5
108,서울,2013-01-01 10:00,-5.5,,2.9,74,0,9.2,-2.2
108,서울,2013-01-01 11:00,-4.2,,2.6,71,.4,9.1,-1.8
108,서울,2013-01-01 12:00,-4.2,.7,1.6,83,.1,9.9,-1.5
108,서울,2013-01-01 13:00,-1.9,,1.1,71,1,9.7,-1.2
108,서울,2013-01-01 14:00,-.6,,4.5,65,.6,9.6,-.9
108,서울,2013-01-01 15:00,-.5,0,3.6,56,1,9.5,-.8
108,서울,2013-01-01 16:00,-.6,,3,55,1,9.4,-.7
108,서울,2013-01-01 17:00,-1.1,,2.3,56,.5,9.4,-.7
108,서울,2013-01-01 18:00,-1.7,,1.9,59,0,9.4,-.9
108,서울,2013-01-01 19:00,-1.6,,2.3,60,,9.4,-1
108,서울,2013-01-01 20:00,-2.5,,2.9,84,,9.7,-1
108,서울,2013-01-01 21:00,-2.8,.7,2.4,87,,10.3,-1
108,서울,2013-01-01 22:00,-2.4,,2.4,89,,10.5,-.9
108,서울,2013-01-01 23:00,-2.7,,4.4,87,,10.8,-.9
108,서울,2013-01-02 00:00,-4.8,.3,2.2,83,,10.9,-.8
108,서울,2013-01-02 01:00,-6.5,,4.5,71,,10.9,-.9
108,서울,2013-01-02 02:00,-7.8,,5,53,,10.9,-1
108,서울,2013-01-02 03:00,-8.8,,6.4,31,,10.9,-1.2
108,서울,2013-01-02 04:00,-10.1,,3.2,34,,10.9,-1.4
108,서울,2013-01-02 05:00,-10.8,,3,43,,10.9,-1.6
