가장_많이_본_뉴스,시황뉴스,시황정보_리포트,인기검색어
"""주주들 난리났다""…거침없던 네이버 카카오 대폭락…도대체 무슨 일",,,
'품절대란' 모다모다 샴푸…올해 71% 오른 수혜주는?,,,
'피크 아웃' 공포…이익 높아진 외국인 과매도 종목에 집중하라,,,
비트코인 10% 이상 폭락하자 관련업체 주가도 급락,,,
3Q 예상보다 좋다...위드코로나 앞두고 유통주 상승,,,
,"[fn오후시황]코스피, 외국인·기관 동반 매도에 3160선 후퇴",,
,"코스피, 외인·기관 팔자에 '3160선' 약세...카카오·네이버 당국 ..",,
,[오후 주식시장은]플랫폼 기업 규제 부각...코스피·코스닥 동반 약..,,
,"코스피, 장중 하락폭 줄여 '3180선' 근접...기관 순매수 전환",,
,"[fn오전시황]코스피, 외국인·기관 동반 매도에 약세",,
,,교보박스 브리핑,
,,eBest Quant Daily,
,,[Start with IBKS] KOSPI는 차익실현 매물 출회되며 하락함,
,,교보박스 브리핑,
,,eBest Quant Daily,
,,,"['카카오', '139,000']"
,,,"['NAVER', '409,500']"
,,,"['삼성전자', '76,200']"
,,,"['SK바이오사이언스', '292,500']"
,,,"['에코플라스틱', '5,440']"
